skip 
 Z (m)	  Az (m2)	 Tz (deg C)	  Cz(mg/m3)	  POCz (mg/m3)	  TPz (mg/m3)	 DOPz (mg/m3)	    Chlaz (mg/m3)	   DOCz (mg/m3)	    TPz_sed (mg/m3)	 Chlaz_sed (mg/m3)	   Fvol_IM (m3/m3, dry w.)	 Hice (m)	 Hsnow (m)	 O2z (mg/m3)	 DICz (mg/m3)	 NO3z (mg/m3)	 NH4z (mg/m3)	 SO4z (mg/m3)	 HSz (mg/m3)	 H2Sz (mg/m3)	 Fe2z (mg/m3)	 Ca2z (mg/m3)	 pHz (mg/m3)	 CH4aqz (mg/m3)	 Fe3z (mg/m3)	 Al3z (mg/m3)	 FeSz (mg/m3)	 CaCO3z (mg/m3)	 CH4gz (mg/m3)	 POPz (mg/m3)
0	2.38e+07	2.7588	0.0087624	403.07	17.715	6.4671	1.1631	7.2909	0	0	0	0	0	12628	17127	5249.9	26.782	3997.4	1.5497e-05	0	1.4909e-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
0.5	2.27e+07	2.7588	0.0085906	403.07	17.715	6.4671	1.1544	7.2909	0	0	0	0	0	12627	17160	5250.2	26.782	3997.4	1.5499e-05	0	1.4911e-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
1	2.16e+07	2.7588	0.0084376	403.07	17.715	6.4671	1.1339	7.2909	0	0	0	0	0	12625	17159	5250.8	26.782	3997.4	1.5502e-05	0	1.4914e-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
1.5	2.05e+07	2.7588	0.0083502	403.07	17.715	6.4671	1.1064	7.2909	0	0	0	0	0	12622	17159	5251.7	26.782	3997.4	1.5507e-05	0	1.4919e-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
2	1.93e+07	2.7588	0.0083	403.07	17.715	6.4671	1.09	7.2909	0	0	0	0	0	12620	17159	5252.3	26.782	3997.4	1.5509e-05	0	1.4922e-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
2.5	1.83e+07	2.7588	0.0082711	403.07	17.715	6.4671	1.0806	7.2909	0	0	0	0	0	12619	17159	5252.6	26.782	3997.4	1.5511e-05	0	1.4923e-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
3	1.72e+07	2.7588	0.0082544	403.07	17.715	6.4671	1.0752	7.2909	0	0	0	0	0	12618	17158	5252.7	26.782	3997.4	1.5512e-05	0	1.4924e-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
3.5	1.62e+07	2.7588	0.0082448	403.07	17.715	6.4671	1.0721	7.2909	0	0	0	0	0	12618	17158	5252.8	26.782	3997.4	1.5512e-05	0	1.4925e-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
4	1.52e+07	2.7588	0.0082392	403.07	17.715	6.4671	1.0703	7.2909	0	0	0	0	0	12618	17158	5252.9	26.782	3997.4	1.5513e-05	0	1.4925e-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
4.5	1.44e+07	2.7588	0.0082359	403.07	17.715	6.4671	1.0692	7.2909	0	0	0	0	0	12618	17158	5252.9	26.782	3997.4	1.5513e-05	0	1.4925e-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
